LengdeVvekst;LengdeValder;vekstaar;vekstalder;alder_aar;ID;tilv_lengde;klima;loknr;moh;lpnr;dato;aar;periode;navn;alder;lengde;vekt;kjonn;moden;moden1;tilvekstalder;tilvekst;inst_vekst;CPUE;Temp_mai;Temp_juni;Temp_juli;nedbor_mai;nedbor_juni;nedbor_juli;tempratur;nedbor;NaoV;Column1;_1;_2;_3;_4;_5
94.18;10;2007;2;3;4;Tilvekst;3;18;654;6;17.09.2008;2008;1;Aktejaevrie;3;148;36.2;1;0;0;Tillvekst_2-3;43.05;0.506596216;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;50.54;2002;0;1;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_0-1;50.54;1.703635238;4.52381;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
50.54;88.44;2003;1;2;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_1-2;37.9;1.142644089;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
88.44;121.29;2004;2;3;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_2-3;32.85;1.070467907;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
121.29;154.14;2005;3;4;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_3-4;32.85;1.049951584;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
154.14;192.04;2006;4;5;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_4-5;37.9;1.043638042;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
192.04;10;2007;5;6;5;Tilvekst;3;18;654;7;17.09.2008;2008;1;Aktejaevrie;6;235;148.8;2;0;0;Tillvekst_5-6;30.32;0.43794501;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.62;2003;0;1;6;Tilvekst;3;18;654;8;17.09.2008;2008;1;Aktejaevrie;5;225;121.7;2;0;0;Tillvekst_0-1;34.62;1.539327064;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
34.62;71.7;2004;1;2;6;Tilvekst;3;18;654;8;17.09.2008;2008;1;Aktejaevrie;5;225;121.7;2;0;0;Tillvekst_1-2;37.09;1.205409298;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
71.7;128.57;2005;2;3;6;Tilvekst;3;18;654;8;17.09.2008;2008;1;Aktejaevrie;5;225;121.7;2;0;0;Tillvekst_2-3;56.87;1.136684382;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
128.57;175.55;2006;3;4;6;Tilvekst;3;18;654;8;17.09.2008;2008;1;Aktejaevrie;5;225;121.7;2;0;0;Tillvekst_3-4;46.98;1.064130979;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
175.55;10;2007;4;5;6;Tilvekst;3;18;654;8;17.09.2008;2008;1;Aktejaevrie;5;225;121.7;2;0;0;Tillvekst_4-5;34.62;0.445553212;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.13;2002;0;1;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_0-1;34.13;1.533136288;4.52381;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
34.13;72.81;2003;1;2;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_1-2;38.68;1.214628501;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
72.81;102.39;2004;2;3;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_2-3;29.58;1.079511989;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
102.39;152.44;2005;3;4;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_3-4;50.06;1.085979728;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
152.44;197.94;2006;4;5;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_4-5;45.5;1.051960369;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
197.94;10;2007;5;6;7;Tilvekst;3;18;654;9;17.09.2008;2008;1;Aktejaevrie;6;248;162.4;2;0;0;Tillvekst_5-6;38.68;0.435438878;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;33.43;2003;0;1;8;Tilvekst;3;18;654;10;17.09.2008;2008;1;Aktejaevrie;5;216;126.7;1;1;1;Tillvekst_0-1;33.43;1.524136377;4.52381;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
33.43;79.71;2004;1;2;8;Tilvekst;3;18;654;10;17.09.2008;2008;1;Aktejaevrie;5;216;126.7;1;1;1;Tillvekst_1-2;46.29;1.247600174;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
79.71;110.57;2005;2;3;8;Tilvekst;3;18;654;10;17.09.2008;2008;1;Aktejaevrie;5;216;126.7;1;1;1;Tillvekst_2-3;30.86;1.074742857;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
110.57;149.14;2006;3;4;8;Tilvekst;3;18;654;10;17.09.2008;2008;1;Aktejaevrie;5;216;126.7;1;1;1;Tillvekst_3-4;38.57;1.063590946;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
149.14;10;2007;4;5;8;Tilvekst;3;18;654;10;17.09.2008;2008;1;Aktejaevrie;5;216;126.7;1;1;1;Tillvekst_4-5;48.86;0.46006749;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;38.72;2005;0;1;9;Tilvekst;3;18;654;12;17.09.2008;2008;1;Aktejaevrie;3;123;19.9;2;0;0;Tillvekst_0-1;38.72;1.587935349;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
38.72;72.89;2006;1;2;9;Tilvekst;3;18;654;12;17.09.2008;2008;1;Aktejaevrie;3;123;19.9;2;0;0;Tillvekst_1-2;34.17;1.17301246;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
72.89;10;2007;2;3;9;Tilvekst;3;18;654;12;17.09.2008;2008;1;Aktejaevrie;3;123;19.9;2;0;0;Tillvekst_2-3;34.17;0.53686434;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;43.5;2005;0;1;10;Tilvekst;3;18;654;13;17.09.2008;2008;1;Aktejaevrie;3;116;18.3;1;0;0;Tillvekst_0-1;43.5;1.638489257;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
43.5;72.5;2006;1;2;10;Tilvekst;3;18;654;13;17.09.2008;2008;1;Aktejaevrie;3;116;18.3;1;0;0;Tillvekst_1-2;29;1.135398355;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
72.5;10;2007;2;3;10;Tilvekst;3;18;654;13;17.09.2008;2008;1;Aktejaevrie;3;116;18.3;1;0;0;Tillvekst_2-3;31.07;0.537536725;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;43.67;2005;0;1;11;Tilvekst;3;18;654;14;17.09.2008;2008;1;Aktejaevrie;3;131;23.3;2;0;0;Tillvekst_0-1;43.67;1.640183192;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
43.67;89.9;2006;1;2;11;Tilvekst;3;18;654;14;17.09.2008;2008;1;Aktejaevrie;3;131;23.3;2;0;0;Tillvekst_1-2;46.24;1.191183827;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
89.9;10;2007;2;3;11;Tilvekst;3;18;654;14;17.09.2008;2008;1;Aktejaevrie;3;131;23.3;2;0;0;Tillvekst_2-3;35.96;0.511833673;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;42.11;2005;0;1;12;Tilvekst;3;18;654;15;17.09.2008;2008;1;Aktejaevrie;3;124;21.8;1;0;0;Tillvekst_0-1;42.11;1.624385241;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
42.11;84.23;2006;1;2;12;Tilvekst;3;18;654;15;17.09.2008;2008;1;Aktejaevrie;3;124;21.8;1;0;0;Tillvekst_1-2;42.11;1.18535108;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
84.23;10;2007;2;3;12;Tilvekst;3;18;654;15;17.09.2008;2008;1;Aktejaevrie;3;124;21.8;1;0;0;Tillvekst_2-3;32.75;0.519354579;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;42.77;2005;0;1;13;Tilvekst;3;18;654;16;17.09.2008;2008;1;Aktejaevrie;3;139;30.5;2;0;0;Tillvekst_0-1;42.77;1.63113925;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
42.77;85.54;2006;1;2;13;Tilvekst;3;18;654;16;17.09.2008;2008;1;Aktejaevrie;3;139;30.5;2;0;0;Tillvekst_1-2;42.77;1.184551991;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
85.54;10;2007;2;3;13;Tilvekst;3;18;654;16;17.09.2008;2008;1;Aktejaevrie;3;139;30.5;2;0;0;Tillvekst_2-3;34.75;0.517553005;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;40.71;2005;0;1;14;Tilvekst;3;18;654;17;17.09.2008;2008;1;Aktejaevrie;3;114;17.3;1;0;0;Tillvekst_0-1;40.71;1.609701102;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
40.71;65.14;2006;1;2;14;Tilvekst;3;18;654;17;17.09.2008;2008;1;Aktejaevrie;3;114;17.3;1;0;0;Tillvekst_1-2;24.43;1.126822707;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
65.14;10;2007;2;3;14;Tilvekst;3;18;654;17;17.09.2008;2008;1;Aktejaevrie;3;114;17.3;1;0;0;Tillvekst_2-3;32.57;0.551314187;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;48.67;2004;0;1;15;Tilvekst;3;18;654;18;17.09.2008;2008;1;Aktejaevrie;4;146;32.7;1;0;0;Tillvekst_0-1;48.67;1.687261346;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
48.67;74.06;2005;1;2;15;Tilvekst;3;18;654;18;17.09.2008;2008;1;Aktejaevrie;4;146;32.7;1;0;0;Tillvekst_1-2;25.39;1.108058163;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
74.06;105.8;2006;2;3;15;Tilvekst;3;18;654;18;17.09.2008;2008;1;Aktejaevrie;4;146;32.7;1;0;0;Tillvekst_2-3;31.74;1.082853717;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
105.8;10;2007;3;4;15;Tilvekst;3;18;654;18;17.09.2008;2008;1;Aktejaevrie;4;146;32.7;1;0;0;Tillvekst_3-4;29.62;0.49395262;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;36.79;2005;0;1;16;Tilvekst;3;18;654;19;17.09.2008;2008;1;Aktejaevrie;3;130;24.3;1;0;0;Tillvekst_0-1;36.79;1.565729788;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
36.79;78.49;2006;1;2;16;Tilvekst;3;18;654;19;17.09.2008;2008;1;Aktejaevrie;3;130;24.3;1;0;0;Tillvekst_1-2;41.7;1.210179652;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
78.49;10;2007;2;3;16;Tilvekst;3;18;654;19;17.09.2008;2008;1;Aktejaevrie;3;130;24.3;1;0;0;Tillvekst_2-3;36.79;0.527756195;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;45.56;2005;0;1;17;Tilvekst;3;18;654;20;17.09.2008;2008;1;Aktejaevrie;3;128;26.1;1;0;0;Tillvekst_0-1;45.56;1.658583715;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
45.56;71.59;2006;1;2;17;Tilvekst;3;18;654;20;17.09.2008;2008;1;Aktejaevrie;3;128;26.1;1;0;0;Tillvekst_1-2;26.03;1.118335086;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
71.59;10;2007;2;3;17;Tilvekst;3;18;654;20;17.09.2008;2008;1;Aktejaevrie;3;128;26.1;1;0;0;Tillvekst_2-3;39.05;0.539126466;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;50.2;2006;0;1;18;Tilvekst;3;18;654;21;17.09.2008;2008;1;Aktejaevrie;2;123;20.6;1;0;0;Tillvekst_0-1;50.2;1.700703717;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
50.2;10;2007;1;2;18;Tilvekst;3;18;654;21;17.09.2008;2008;1;Aktejaevrie;2;123;20.6;1;0;0;Tillvekst_1-2;42.67;0.587991894;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;46.32;2005;0;1;19;Tilvekst;3;18;654;22;17.09.2008;2008;1;Aktejaevrie;3;110;16;1;0;0;Tillvekst_0-1;46.32;1.665768551;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
46.32;71.4;2006;1;2;19;Tilvekst;3;18;654;22;17.09.2008;2008;1;Aktejaevrie;3;110;16;1;0;0;Tillvekst_1-2;25.09;1.112818591;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
71.4;10;2007;2;3;19;Tilvekst;3;18;654;22;17.09.2008;2008;1;Aktejaevrie;3;110;16;1;0;0;Tillvekst_2-3;28.95;0.539462138;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.09;2006;0;1;20;Tilvekst;3;18;654;23;17.09.2008;2008;1;Aktejaevrie;2;112;16.9;2;0;0;Tillvekst_0-1;34.09;1.532627001;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
34.09;10;2007;1;2;20;Tilvekst;3;18;654;23;17.09.2008;2008;1;Aktejaevrie;2;112;16.9;2;0;0;Tillvekst_1-2;46.26;0.652474476;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;41.25;2006;0;1;21;Tilvekst;3;18;654;24;17.09.2008;2008;1;Aktejaevrie;2;121;20.2;2;0;0;Tillvekst_0-1;41.25;1.615423953;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
41.25;10;2007;1;2;21;Tilvekst;3;18;654;24;17.09.2008;2008;1;Aktejaevrie;2;121;20.2;2;0;0;Tillvekst_1-2;46.75;0.619032544;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;48;2004;0;1;22;Tilvekst;3;18;654;25;17.09.2008;2008;1;Aktejaevrie;4;160;43.5;1;0;0;Tillvekst_0-1;48;1.681241237;4.52381;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
48;73.14;2005;1;2;22;Tilvekst;3;18;654;25;17.09.2008;2008;1;Aktejaevrie;4;160;43.5;1;0;0;Tillvekst_1-2;25.14;1.108796831;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
73.14;116.57;2006;2;3;22;Tilvekst;3;18;654;25;17.09.2008;2008;1;Aktejaevrie;4;160;43.5;1;0;0;Tillvekst_2-3;43.43;1.108591745;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
116.57;10;2007;3;4;22;Tilvekst;3;18;654;25;17.09.2008;2008;1;Aktejaevrie;4;160;43.5;1;0;0;Tillvekst_3-4;27.43;0.483889669;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;50.91;2005;0;1;23;Tilvekst;3;18;654;26;17.09.2008;2008;1;Aktejaevrie;3;140;34.2;2;0;0;Tillvekst_0-1;50.91;1.706803097;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
50.91;96.73;2006;1;2;23;Tilvekst;3;18;654;26;17.09.2008;2008;1;Aktejaevrie;3;140;34.2;2;0;0;Tillvekst_1-2;45.82;1.163321763;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
96.73;10;2007;2;3;23;Tilvekst;3;18;654;26;17.09.2008;2008;1;Aktejaevrie;3;140;34.2;2;0;0;Tillvekst_2-3;33.09;0.503635952;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.41;2005;0;1;24;Tilvekst;3;18;654;27;17.09.2008;2008;1;Aktejaevrie;3;145;35.7;2;0;0;Tillvekst_0-1;34.41;1.536684673;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
34.41;73.73;2006;1;2;24;Tilvekst;3;18;654;27;17.09.2008;2008;1;Aktejaevrie;3;145;35.7;2;0;0;Tillvekst_1-2;39.32;1.215372462;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
73.73;10;2007;2;3;24;Tilvekst;3;18;654;27;17.09.2008;2008;1;Aktejaevrie;3;145;35.7;2;0;0;Tillvekst_2-3;46.69;0.535433881;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;76.27;2005;0;1;25;Tilvekst;3;18;654;28;17.09.2008;2008;1;Aktejaevrie;3;143;33.6;1;0;0;Tillvekst_0-1;76.27;1.882353746;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
76.27;116.78;2006;1;2;25;Tilvekst;3;18;654;28;17.09.2008;2008;1;Aktejaevrie;3;143;33.6;1;0;0;Tillvekst_1-2;40.52;1.09828903;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
116.78;10;2007;2;3;25;Tilvekst;3;18;654;28;17.09.2008;2008;1;Aktejaevrie;3;143;33.6;1;0;0;Tillvekst_2-3;19.07;0.483706709;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;47.67;2005;0;1;26;Tilvekst;3;18;654;29;17.09.2008;2008;1;Aktejaevrie;3;143;31.7;2;0;0;Tillvekst_0-1;47.67;1.678245152;4.52381;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
47.67;90.79;2006;1;2;26;Tilvekst;3;18;654;29;17.09.2008;2008;1;Aktejaevrie;3;143;31.7;2;0;0;Tillvekst_1-2;43.13;1.166717517;4.52381;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
90.79;10;2007;2;3;26;Tilvekst;3;18;654;29;17.09.2008;2008;1;Aktejaevrie;3;143;31.7;2;0;0;Tillvekst_2-3;38.59;0.510715314;4.52381;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
