vassdragNr,vatnLnr,year,"Land principally occupied by agriculture, with significant areas of natural vegetation",Coniferous forest,Moors and heathland,Transitional woodland-shrub,Peat bogs,Water bodies,Broad-leaved forest,Mixed forest,Sparsely vegetated areas,Sea and ocean,Discontinuous urban fabric,Non-irrigated arable land,Bare rocks,Water courses,mean_ndvi
139.BAD2,40445,2009,0,14.34565695026466,35.35030376769715,0.34898658099068736,10.563973178276468,0.5866233579298713,2.8027560434427183,1.0757477410926946,32.635677020387874,0,0,0,2.2902753599178727,0,0.5913621616283363
139.BABZ,40353,2008,0,15.64677973732284,42.35885647991827,10.133394803598176,21.09382440282936,0.6459788923231432,1.5960624399366252,0.04675203241474247,8.47835121165684,0,0,0,0,0,0.6368745720176827
139.BABZ,40353,2009,0,15.64677973732284,42.35885647991827,10.133394803598176,21.09382440282936,0.6459788923231432,1.5960624399366252,0.04675203241474247,8.47835121165684,0,0,0,0,0,0.658173853158516
139.F1Z,38971,2008,0.5438383667978908,13.121709916615153,11.845687528232425,0,14.641127720995378,1.28745409282766,11.108176110401407,3.729177372328394,42.407294981259774,0,0,0.7775778770991884,0.528189140324727,0.00976689311800293,0.614017753590186
139.F1Z,38881,2008,0.5468609622744058,13.194638976901263,11.848691384038132,0,14.722501542929145,0.9400428337219022,11.16991416514978,3.749903741310212,42.504600886361175,0,0,0.7818995717743853,0.5311247590742648,0.00982117646533626,0.6154121282885342
139.F1Z,38881,2009,0.5468609622744058,13.194638976901263,11.848691384038132,0,14.722501542929145,0.9400428337219022,11.16991416514978,3.749903741310212,42.504600886361175,0,0,0.7818995717743853,0.5311247590742648,0.00982117646533626,0.652921254290873
139.F1Z,38972,2008,0.5481934787351275,13.226789879677126,11.933388898522674,0,14.758375333530982,0.550542879358278,11.197131493715354,3.7590409970408736,42.70046820198133,0,0,0.7838047983710822,0.5324189316939737,0.00984510737320228,0.6164414979662783
139.F1Z,118010,2008,0.5438691517417132,13.122452694483169,11.84635807457001,0,14.641956508226851,1.2875269714701782,11.108804908585585,3.7293884690860337,42.4040348431437,0,0,0.7776218932862128,0.5282190394160843,0.00976744599046342,0.6139778338636298
139.F1Z,118010,2009,0.5438691517417132,13.122452694483169,11.84635807457001,0,14.641956508226851,1.2875269714701782,11.108804908585585,3.7293884690860337,42.4040348431437,0,0,0.7776218932862128,0.5282190394160843,0.00976744599046342,0.6515773630051579
139.F1Z,38886,2008,0.5441910932576944,13.130220486240296,11.853370486406885,0,14.56033246744016,1.2882891187325012,11.11538072830538,3.7315960680527622,42.46023240291464,0,0,0.7780822039517158,0.5285317169006873,0.00977322779728104,0.6140901633907843
139.F1Z,38886,2009,0.5441910932576944,13.130220486240296,11.853370486406885,0,14.56033246744016,1.2882891187325012,11.11538072830538,3.7315960680527622,42.46023240291464,0,0,0.7780822039517158,0.5285317169006873,0.00977322779728104,0.651681085227914
307.3BC6B,38967,2008,0,0,42.85095472115926,0,10.86672753054525,8.596958101046988,5.127134282550844,0,32.558225364697655,0,0,0,0,0,0.5171134602780284
307.3BC6B,38967,2009,0,0,42.85095472115926,0,10.86672753054525,8.596958101046988,5.127134282550844,0,32.558225364697655,0,0,0,0,0,0.5412630775033973
