vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density,jan_temp_mean,jan_temp_max,jan_temp_min,jan_total_precip,jan_snow_depth,feb_temp_mean,feb_temp_max,feb_temp_min,feb_total_precip,feb_snow_depth,mar_temp_mean,mar_temp_max,mar_temp_min,mar_total_precip,mar_snow_depth,apr_temp_mean,apr_temp_max,apr_temp_min,apr_total_precip,apr_snow_depth,may_temp_mean,may_temp_max,may_temp_min,may_total_precip,may_snow_depth,jun_temp_mean,jun_temp_max,jun_temp_min,jun_total_precip,jun_snow_depth,jul_temp_mean,jul_temp_max,jul_temp_min,jul_total_precip,jul_snow_depth,aug_temp_mean,aug_temp_max,aug_temp_min,aug_total_precip,aug_snow_depth,sep_temp_mean,sep_temp_max,sep_temp_min,sep_total_precip,sep_snow_depth,oct_temp_mean,oct_temp_max,oct_temp_min,oct_total_precip,oct_snow_depth,nov_temp_mean,nov_temp_max,nov_temp_min,nov_total_precip,nov_snow_depth,dec_temp_mean,dec_temp_max,dec_temp_min,dec_total_precip,dec_snow_depth
001.C1,3555,1998,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09321263054857548,-1.0897875673027215,6.206018066406273,-13.307409667968727,52.671105310537314,160.15625,1.9588572002592741,10.097283935546898,-14.604040527343727,59.213494531483946,206.0546875,0.6692072837583964,13.36152038574221,-10.498968505859352,39.80505391918854,99.609375,3.663186836242687,19.916116333007835,-3.5494903564452898,103.75849836770712,159.1796875,10.66418919306932,21.40302429199221,3.0696807861328352,45.01030829406005,-7.3453647229951e-21,12.561897510952463,21.29462585449221,6.330911254882835,145.72923038814167,-7.3453647229951e-21,14.346815363566122,23.348168945312523,8.72882995605471,101.37908445052801,-7.3453647229951e-21,13.45665206499001,20.504479980468773,6.494485473632835,88.3920140632668,-7.3453647229951e-21,12.052835337320971,19.495462036132835,5.75293884277346,74.05726385362854,-7.3453647229951e-21,5.614356613159202,11.020059204101585,-0.05789794921872726,102.20245296633834,8.7890625,-1.4985986709594386,2.4626861572265852,-9.80522766113279,40.66449192477606,136.71875,-0.39872453751098647,6.335809326171898,-11.078192138671852,68.43225183086687,190.4296875
001.C1,3555,2002,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3.775111537217307,-0.573333998649332,5.209741210937523,-20.511511230468727,78.82421577568266,193.359375,1.171596917651982,7.059411621093773,-9.566503906249977,82.78338615060221,196.2890625,1.930982433852364,11.10389099121096,-11.279318237304665,38.38026679875384,137.6953125,6.433948707580612,17.121377563476585,-1.0736450195312273,37.5589930476572,-7.27919033709973e-21,11.877234949091473,22.310159301757835,4.734353637695335,84.36166917624277,-7.27919033709973e-21,15.410990354749913,24.38349304199221,7.672540283203148,87.62498912818728,-7.27919033709973e-21,16.806781018164884,26.05744323730471,9.600671386718773,133.57973307891058,-7.27919033709973e-21,19.72294849272697,26.037026977539085,13.116113281250023,46.96841717818501,-7.27919033709973e-21,12.954781468709314,22.66571960449221,3.3421722412109602,44.23950962583234,-7.27919033709973e-21,3.543227747435253,15.300103759765648,-3.4041503906249773,82.36717549695527,43.9453125,-0.6206590652465707,5.83704528808596,-6.23546447753904,75.4499185750852,170.8984375,-6.314138035107646,2.1604400634765852,-20.89952697753904,33.75686586897331,326.171875
001.C1,3555,2006,93.46632237416352,0,3.562109034041315,2.97156859179517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2.5167410248115383,-3.179580352126891,5.073144531250023,-17.362768554687477,56.85922665982801,236.328125,-3.8370751607985767,4.831323242187523,-12.45567932128904,69.6736390833621,460.9375,-4.341899966168114,5.12738952636721,-14.995947265624977,34.76228666406911,503.90625,3.634383265177405,13.35035095214846,-5.361822509765602,65.07192541634765,325.1953125,10.559359261297459,22.413476562500023,3.7472930908203352,120.56133091919818,-7.3453647229951e-21,15.055928781297496,25.547631835937523,6.541192626953148,67.08356576685404,-7.3453647229951e-21,19.29656339255712,28.235437011718773,11.328546142578148,61.689543100929,-7.3453647229951e-21,17.05439855514038,26.40540466308596,10.811822509765648,120.06175405026909,-7.3453647229951e-21,14.673347875807053,21.636071777343773,9.25592956542971,62.138379662613374,-7.3453647229951e-21,9.534164621496757,15.846002197265648,-0.20789184570310226,135.44347435574622,10.7421875,4.765963427225756,10.824517822265648,-3.1771606445312273,115.27779897833312,17.578125,3.9327391429613954,10.357385253906273,-4.62309875488279,114.06281666796758,-7.3453647229951e-21
001.1A4B,346,2003,97.36029026177415,0,0,2.639709738225831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15.23913273851994,-3.383031775361701,6.11213073730471,-21.407049560546852,45.65775966767305,324.21875,-3.0962866783141862,3.9395080566406477,-16.785177612304665,32.38631988601881,181.640625,1.6409326655890482,10.64594421386721,-6.734869384765602,24.595240486650738,189.453125,5.00320750342479,19.118218994140648,-3.5439208984374773,71.93556898864628,73.2421875,9.54108396960845,19.33539733886721,0.36544189453127274,126.05161393576836,0.9765625,15.213873524136034,23.729837036132835,8.47193298339846,119.21056707633682,-7.27919033709973e-21,17.99815092599522,27.171975708007835,12.26581726074221,122.80245981936844,-7.27919033709973e-21,16.77488409883233,26.60315856933596,7.719018554687523,32.81819946865383,-7.27919033709973e-21,12.750348620944578,20.300897216796898,3.1349731445312727,50.08580740121715,-7.3453647229951e-21,4.352196445260006,13.524072265625023,-4.573919677734352,29.90922155260023,0.9765625,3.4811579810248645,9.836602783203148,-3.6238159179687273,82.24144465888727,68.359375,1.2148409074353026,7.071069335937523,-10.392965698242165,86.96669561604864,126.953125
001.B1D,331,1987,92.17376508396524,0,0,7.826234916034766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,21.07324703097614,-11.964669824415637,3.1768737792968977,-27.821600341796852,23.667429383259275,397.4609375,-4.126983183906191,3.1703430175781477,-14.403723144531227,46.24028230198007,403.3203125,-4.747463628297169,5.262963867187523,-21.966040039062477,74.94532141263477,448.2421875,4.37387688954675,18.191262817382835,-4.880560302734352,29.748628144432132,375.9765625,8.76483848325671,22.26996765136721,2.3810363769531477,92.38062920581669,2.9296875,11.219775305854,20.428262329101585,5.42658386230471,164.9430834321386,-7.3453647229951e-21,15.392891533144109,26.717370605468773,8.321084594726585,41.375461678018866,-7.3453647229951e-21,13.103106045466632,21.342248535156273,7.273980712890648,117.85098850081255,-7.3453647229951e-21,10.365717824300134,17.504876708984398,2.1810089111328352,87.55097398154632,4.8828125,7.9802481825634,14.387353515625023,1.5303131103515852,146.22208915073642,0.9765625,1.5313936869303575,7.192239379882835,-5.085028076171852,53.70516524657987,14.6484375,-0.9938520123881176,5.84925231933596,-10.845404052734352,28.929939422127404,32.2265625
001.1K,3602,2005,78.94016855402977,5.768177138769172,6.6723665613931,1.3958925860655025,5.2133098358081345,2.010085323934323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,8.972161624411683,1.7023258564720436,8.900109863281273,-4.824250284830707,82.76815156250923,52.408854166666664,-1.150773505559016,5.250166829427106,-8.535289510091124,30.699931476721787,60.546875,-0.6335219776330897,11.07617085774742,-13.806102498372374,25.536594352143283,116.86197916666667,5.993310984858776,14.135527547200544,-1.8492696126301855,34.07084049481194,0.6510416666666666,9.563050227011425,18.114216105143253,2.725600179036481,89.2113713416632,-7.3453647229951e-21,13.804207964296722,22.059849039713566,5.574339803059918,69.12461158309213,-7.3453647229951e-21,17.736298969227807,29.235630289713566,9.58698425292971,88.93871972766713,-7.3453647229951e-21,15.484062100482257,24.169183349609398,9.506982421875023,82.40334115479797,-7.3453647229951e-21,13.012783573291946,21.282490030924503,5.501184082031273,39.029857895794606,-7.3453647229951e-21,8.448330795124017,17.033135986328148,-0.8317677815754981,66.38432603006332,10.416666666666666,4.547581065142613,11.475920613606794,-5.047633870442685,83.25122504961158,13.346354166666666,-0.47923662192503497,6.582009887695335,-6.207673136393207,52.0718280734099,103.84114583333333
001.1L,3599,2006,74.80332795320177,2.0035491033609474,1.416966140840549,21.77615680259673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.2958028590878261,-3.108440924203478,5.120019531250023,-17.325659179687477,56.110592321449104,226.5625,-3.551142892383382,4.862573242187523,-12.36388244628904,67.4059058670764,429.6875,-4.181538953063296,5.30756530761721,-14.403097534179665,33.6506004343633,465.8203125,3.7773547278510478,13.689569091796898,-5.186041259765602,71.4790522006723,290.0390625,10.60192636059179,22.200585937500023,3.8293243408203352,117.1135449456493,-7.3453647229951e-21,15.038239436679419,25.606225585937523,6.416192626953148,70.38590150598978,-7.3453647229951e-21,19.272020696824598,28.13300476074221,11.285577392578148,63.20014831695531,-7.3453647229951e-21,17.01931843501268,26.32727966308596,10.95832214355471,120.93379980565544,-7.3453647229951e-21,14.743332142300119,21.682946777343773,9.27350769042971,66.20940670309494,-7.3453647229951e-21,9.676275466590823,15.902642822265648,-0.11218872070310226,142.66909212212653,13.671875,4.977907329135519,10.996392822265648,-3.0580200195312273,119.19444998884643,16.6015625,4.177774950253081,10.419885253906273,-4.71098937988279,121.54942827265813,-7.3453647229951e-21
001.1L,3582,2007,73.2337303294181,3.363609267327157,1.3426951352065266,22.05996526804821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.2648082946939485,0.44279630517451096,8.275109863281273,-13.076208496093727,110.37159276929742,85.9375,-2.233805334000351,5.37458190917971,-11.621160888671852,45.796846219953835,243.1640625,3.566172474686823,13.809625244140648,-2.4693664550781023,49.06025231763067,243.1640625,7.44173259735112,18.670983886718773,-1.7315887451171648,25.112780313676808,45.8984375,10.235326467534549,18.324746704101585,3.1663909912109602,80.16702573164736,-7.3453647229951e-21,16.003532706366684,28.463708496093773,7.628442382812523,95.43182901786906,-7.3453647229951e-21,15.11090092812816,21.857598876953148,9.648889160156273,188.28075112758924,-7.3453647229951e-21,15.834486344040101,24.38440856933596,6.955911254882835,81.09619342063468,-7.3453647229951e-21,11.330689260694726,19.708917236328148,4.88501892089846,81.34439112028957,-7.3453647229951e-21,7.131346659506562,14.061364746093773,0.35843811035158524,28.173550083462118,-7.3453647229951e-21,1.9343457963731794,11.79938659667971,-3.4370635986327898,61.70195373437082,19.53125,0.6255651781636402,7.893533325195335,-6.611715698242165,95.2759935650711,37.109375
001.1L,3591,2007,73.1725373091729,3.361839218246621,1.4172669313896529,22.048356541190824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.264147756308347,0.44279630517451096,8.275109863281273,-13.076208496093727,110.37159276929742,85.9375,-2.233805334000351,5.37458190917971,-11.621160888671852,45.796846219953835,243.1640625,3.566172474686823,13.809625244140648,-2.4693664550781023,49.06025231763067,243.1640625,7.44173259735112,18.670983886718773,-1.7315887451171648,25.112780313676808,45.8984375,10.235326467534549,18.324746704101585,3.1663909912109602,80.16702573164736,-7.3453647229951e-21,16.003532706366684,28.463708496093773,7.628442382812523,95.43182901786906,-7.3453647229951e-21,15.11090092812816,21.857598876953148,9.648889160156273,188.28075112758924,-7.3453647229951e-21,15.834486344040101,24.38440856933596,6.955911254882835,81.09619342063468,-7.3453647229951e-21,11.330689260694726,19.708917236328148,4.88501892089846,81.34439112028957,-7.3453647229951e-21,7.131346659506562,14.061364746093773,0.35843811035158524,28.173550083462118,-7.3453647229951e-21,1.9343457963731794,11.79938659667971,-3.4370635986327898,61.70195373437082,19.53125,0.6255651781636402,7.893533325195335,-6.611715698242165,95.2759935650711,37.109375
001.1L,3594,2008,73.17186730696503,3.361923178467708,1.4173023269089429,22.04890718765832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,5.944308169927003,1.330588133617141,6.565347290039085,-3.6287445068359148,151.36147897586483,154.296875,2.3564503461465165,7.860375976562523,-4.001348876953102,69.78144398836506,159.1796875,0.6655736820672473,8.676309204101585,-8.57372131347654,95.47155201147461,97.65625,5.989219665527344,19.36237487792971,-2.5362915039062273,64.75282607487998,33.203125,11.906773975331305,26.565850830078148,1.8880401611328352,30.83478077632762,-7.3453647229951e-21,15.084354358249243,28.036859130859398,6.824945068359398,81.15332270345021,-7.3453647229951e-21,17.40640224743919,29.022180175781273,10.466973876953148,79.002558087506,-7.3453647229951e-21,14.954080015613215,26.371377563476585,9.253579711914085,154.45947804739646,-7.3453647229951e-21,10.928964339362267,19.29993591308596,5.69288024902346,74.41209275154748,-7.3453647229951e-21,7.593721418483312,13.828393554687523,-0.37119140624997726,106.05717884628874,4.8828125,2.8075457255045535,9.00660095214846,-4.550390624999977,81.37232244764903,23.4375,-0.26780187135096867,6.89344177246096,-6.54814758300779,35.497505667954954,84.9609375
